1-single-staff-single-voice_true	1-single-staff-single-voice_more	1-single-staff-single-voice_true	1	A06.1
scale_true	scale_swap-two	scale_wrong-completely	-1	A06.1
note_true	note_flat	note_key_sharp	1	A06.1
1-single-staff-single-voice_true	1-single-staff-single-voice_completely	1-single-staff-single-voice_true	1	A04.1
note_true	note_flat	note_key_sharp	-1	A04.1
1-single-staff-single-voice_true	1-single-staff-single-voice_more	1-single-staff-single-voice_true	1	A04.1
scale_true	scale_swap-two	scale_wrong-completely	-1	A04.1
note_true	note_pitch_octave	note_half	1	A04.1
scale_true	scale_reordered-completely	scale_wrong-completely	-1	A04.1
note_true	note_true	note_f_clef	-1	A04.1
note_true	note_flat	note_half_with_rest	1	A04.1
note_true	note_chord	note_pitch_step	-1	A04.1
scale_true	scale_swap-two	scale_shifted-duration	-1	A04.1
note_true	note_half	note_half_with_rest	1	A04.1
note_true	note_flat	note_f_clef	-1	A04.1
note_true	note_key_sharp	note_pitch_step	-1	A04.1
note_true	note_sharp	note_half_with_rest	1	A04.1
note_true	note_pitch_octave	note_key_sharp	1	A04.1
two-part_true	two-part_true	two-part_wrong-notes	-1	A04.1
note_true	note_flat	note_f_clef	-1	A09.1
1-single-staff-single-voice_true	1-single-staff-single-voice_more	1-single-staff-single-voice_true	1	A09.1
note_true	note_flat	note_key_sharp	-1	A09.1
scale_true	scale_swap-two	scale_wrong-completely	-1	A09.1
scale_true	scale_reordered-completely	scale_wrong-completely	-1	A09.1
scale_true	scale_swap-two	scale_shifted-duration	-1	A09.1
note_true	note_sharp	note_half_with_rest	-1	A09.1
note_true	note_flat	note_half_with_rest	-1	A09.1
two-part_true	two-part_true	two-part_wrong-notes	-1	A09.1
note_true	note_true	note_f_clef	-1	A09.1
note_true	note_half	note_half_with_rest	1	A09.1
note_true	note_pitch_octave	note_key_sharp	-1	A09.1
note_true	note_chord	note_pitch_step	1	A09.1
note_true	note_pitch_octave	note_half	1	A09.1
note_true	note_key_sharp	note_pitch_step	1	A09.1
1-single-staff-single-voice_true	1-single-staff-single-voice_completely	1-single-staff-single-voice_true	1	A09.1
scale_true	scale_wrong-two	scale_interruptions	1	A09.1
scale_true	scale_swap-two	scale_interruptions	1	A09.1
note_true	note_true	note_half	-1	A09.1
note_true	note_sharp	note_pitch_step	1	A09.1
scale_true	scale_wrong-two	scale_shifted-duration	-1	A14.1
note_true	note_flat	note_key_sharp	-1	A14.1
2-single-staff-multi-voice_true	2-single-staff-multi-voice_more	2-single-staff-multi-voice_slightly	1	A09.1
scale_true	scale_wrong-two	scale_shifted-duration	-1	A09.1
two-part_true	two-part_true	two-part_wrong-notes	-1	A14.1
note_true	note_pitch_octave	note_chord	-1	A09.1
scale_true	scale_swap-two	scale_wrong-completely	-1	A14.1
